,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
122,985155,0.33,False,Centrum-Oost,52.38,4.914,Entire home/apt,3,2,2,6,150.0,6,35,True,0,0,4.67,False,50.0,900.0,0.09,0.16,0.19,4.99,0.0,750.0
123,989222,0.28,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,2,1,1,11,190.0,6,21,True,0,2,4.72,False,95.0,1140.0,0.07,0.11,0.2,4.99,0.1506849315068493,950.0
124,995087,1.0,True,Westerpark,52.38,4.88,Private room,2,1,2,1,73.0,3,28,True,5,5,4.51,True,36.5,219.0,0.06,0.1,0.15,2.99,0.410958904109589,404.64383561643837
125,1008006,0.97,False,Westerpark,52.38,4.87,Private room,2,1,1,5,123.0,3,30,True,2,1,4.79,False,61.5,369.0,0.05,0.17,0.2,4.99,0.7013698630136986,615.5890410958904
126,1018639,0.2,False,Centrum-Oost,52.38,4.887,Private room,2,1,2,7,136.0,3,1125,True,0,0,4.61,False,68.0,408.0,0.07,0.18,0.19,4.99,0.0,681.986301369863
127,1018703,1.0,True,De Pijp - Rivierenbuurt,52.34,4.887,Private room,2,1,1,8,108.0,3,90,True,0,2,4.72,True,54.0,324.0,0.06,0.14,0.17,4.99,0.2,619.8356164383562
128,1020477,0.64,False,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,13,307.0,5,8,True,4,0,4.91,False,153.5,1535.0,0.13,0.24,0.16,4.99,0.03287671232876712,1723.2876712328766
129,1021538,0.5,False,Slotervaart,52.34,4.84,Entire home/apt,5,3,3,9,249.0,7,20,True,0,0,5.0,False,49.8,1743.0,0.1,0.24,0.19,4.99,0.12054794520547946,1245.0
130,1036888,0.09,False,Westerpark,52.38,4.87,Entire home/apt,2,1,1,6,148.0,3,7,True,1,0,4.81,False,74.0,444.0,0.07,0.14,0.21,4.99,0.3424657534246575,705.0
131,1041309,0.72,False,Zuid,52.34,4.883,Entire home/apt,2,1,2,5,143.0,4,45,True,1,0,4.94,False,71.5,572.0,0.06,0.12,0.15,4.99,0.00821917808219178,753.013698630137
